page_url,issue_type,severity,description,affected_element,fix_required
/,image_optimization,high,Hero slideshow uses standard <img> tags not next/image — no WebP conversion no priority flag for LCP no automatic lazy loading,Hero.tsx slideshow images (s01-s13.jpg),Convert to next/image with priority on first slide
/,image_optimization,high,Logo uses <img src=/logo.jpg> not next/image in Header and Footer,Header.tsx Footer.tsx,Convert to next/image
/,image_alt,medium,Footer logo uses generic alt A&E Insurance Agency but img in footer has brightness-0 invert — alt text acceptable,Footer.tsx img,Low priority
/,lcp_risk,high,Hero slideshow loads 9 images on mount — first slide is LCP candidate but no preload hint or priority attribute exists,Hero.tsx <img src=/slideshow/s01.jpg>,Add priority + preload for s01.jpg
/,schema_gap,medium,LocalBusinessSchema aggregateRating shows reviewCount: 126 — this should be verified against live Google Business Profile count regularly,LocalBusinessSchema.tsx,Verify and update reviewCount to match GBP
/,schema_gap,low,WebSite SearchAction urlTemplate points to /blogs?search={search_term_string} — search functionality in BlogsClient needs to match this URL pattern,LocalBusinessSchema.tsx,Verify /blogs search filter matches urlTemplate
/watch/video,noindex,informational,/watch/video is correctly noindexed (post-optin only). Confirmed in page metadata.,watch/video/page.tsx,No action needed
/book/thank-you,noindex,informational,/book/thank-you is correctly noindexed. Disallowed in robots.ts.,book/thank-you/page.tsx,No action needed
/privacy,noindex,informational,/privacy has robots: { index: false follow: false } — correct for legal page,privacy/page.tsx,No action needed
/terms,noindex,informational,/terms has robots: { index: false follow: false } — correct for legal page,terms/page.tsx,No action needed
/blogs/[slug],canonical_format,medium,Canonical set as relative URL /blogs/[slug] in generateMetadata alternates — Next.js should resolve to absolute but worth verifying rendered output,blogs/[slug]/page.tsx,Confirm rendered canonical is absolute https://www.aeinsurancefl.com/blogs/[slug]
/medicare-coverage/[slug],canonical_format,medium,Canonical set as relative URL /medicare-coverage/[slug] — same issue as blogs,medicare-coverage/[slug]/page.tsx,Confirm rendered canonical is absolute
/resources/faq/[slug],canonical_format,medium,Canonical set as relative URL /resources/faq/[slug] — same issue,resources/faq/[slug]/page.tsx,Confirm rendered canonical is absolute
/,missing_og_image,medium,OG image not explicitly set per-page — falls through to root layout default og-image.jpg. Dynamic blog pages also inherit default.,layout.tsx,Consider per-page OG images for blog posts using blog post image
/blogs/[slug],missing_twitter_card,low,Twitter card type not explicitly set in page metadata — using layout default,blogs/[slug]/page.tsx,Add twitter: { card: 'summary_large_image' } to blog generateMetadata
/,missing_font_optimization,medium,No next/font usage detected — system font stack assumed. Google Fonts (if any) loaded via CSS would be render-blocking,globals.css layout.tsx,Audit CSS for any @import font rules; migrate to next/font if applicable
/major-exposures,orphan_page_risk,medium,/major-exposures has a page.tsx but is NOT in sitemap.ts and NOT in any navigation — may be orphaned or intentionally hidden,src/app/major-exposures/page.tsx,Confirm if intentionally excluded; add to sitemap or add internal links if indexable
/major-exposures,missing_from_sitemap,medium,/major-exposures route exists but is absent from sitemap.ts staticPages array,sitemap.ts,Add to sitemap if this page should be indexed
ALL blog posts,image_alt,medium,Blog post images in content HTML (raw Webflow HTML) may have missing or generic alt text — cannot confirm from source without rendering,blogPosts.ts content HTML,Audit rendered blog post images for alt text completeness
/retirement /life-insurance /critical-illness,redirect_risk,high,Catch-all redirects /retirement/:slug+ /life-insurance/:slug+ /critical-illness/:slug+ will silently shadow any new subpages created under those routes — redirects run before routes,next.config.ts,Document this constraint; convert to per-slug rules before adding subpages
/blog/medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you,legacy_url_receiving_impressions,critical,This /blog/ (not /blogs/) URL has 4156 GSC impressions in current period — Google still knows the old URL. 301 redirect to /blogs/ version is in place but the redirect target may need to be confirmed as the canonical,next.config.ts GSC data,Verify redirect chain is single-hop; check that /blogs/ version has proper canonical
/retirement/retirement-planning-tools,404_or_redirect_target,high,This Webflow URL /retirement/retirement-planning-tools is receiving 3615 GSC impressions — it is NOT a page in the current Next.js app. The catch-all redirect /retirement/:slug+ → /retirement sends traffic to the service page losing all keyword context,next.config.ts GSC,Critical traffic leak — consider creating a retirement tools page at this URL
/life-insurance/permanent-life-insurance,404_or_redirect_target,high,This Webflow URL /life-insurance/permanent-life-insurance has 1230 GSC impressions — redirects to /life-insurance via catch-all losing URL and keyword equity,next.config.ts GSC,Consider creating this subpage or a targeted redirect to nearest content
/retirement/social-security-and-medicare-coordination,redirect_traffic_loss,high,887 GSC impressions on this Webflow subpage — redirected to /retirement by catch-all,GSC + next.config.ts,Consider dedicated content page
/life-insurance/term-life-insurance,redirect_traffic_loss,high,309 GSC impressions on this Webflow subpage URL,GSC + next.config.ts,Consider dedicated content page for term life insurance
/life-insurance/final-expense-and-guaranteed-issue-insurance,redirect_traffic_loss,medium,212 GSC impressions,GSC + next.config.ts,Consider dedicated content page
/critical-illness/critical-illness-and-cancer-insurance,redirect_traffic_loss,medium,196 GSC impressions,GSC + next.config.ts,Consider dedicated content page
/retirement/retirement-income-planning,redirect_traffic_loss,medium,150 GSC impressions,GSC + next.config.ts,Consider dedicated content page
/critical-illness/hospital-indemnity-plans,redirect_traffic_loss,medium,81 GSC impressions,GSC + next.config.ts,Consider dedicated content page
/resources,sitemap_exclusion,low,/resources/faq pages ARE in sitemap.ts but the CLAUDE.md notes sitemap excludes /book and /resources/faq — however sitemap.ts code DOES include faqEntries. Verify actual sitemap output.,sitemap.ts CLAUDE.md,Run curl https://www.aeinsurancefl.com/sitemap.xml to verify FAQ pages appear
/blogs/[slug],faq_schema_conditional,medium,FAQSchema only renders when post has faqs array — most blog posts do NOT have faqs defined — missing rich result opportunity for informational posts,blogPosts.ts BlogPostClient.tsx,Add faqs arrays to high-impression Medicare comparison posts
ALL pages,aria_labels,low,AnnouncementBar webinar link lacks explicit aria-label (link text is the label) — acceptable but worth confirming screen reader experience,AnnouncementBar.tsx,Low priority accessibility review
/,cls_risk,medium,Hero slideshow using absolute-positioned images with AnimatePresence may cause CLS on load if image dimensions aren't reserved — verify with CWV tooling,Hero.tsx,Test in PageSpeed Insights and fix if CLS score is poor
/blogs/[slug],structured_data_author,low,BlogPostingSchema author @id references /#steve-germain which is defined in LocalBusinessSchema — valid cross-reference but @id must be identical string in both places (verified: it is),BlogPostingSchema.tsx LocalBusinessSchema.tsx,No action needed — confirmed consistent
/,krt_rankings_null,critical,All 25 keywords in KRT project 70164 show null positions (not ranking) as of 2026-07-10. The rank tracker may not be configured for local Florida tracking — keywords are set to United States national tracking not Miami/South Florida geo,krt project 70164,Configure KRT tracking locations for Miami FL and/or South Florida
/blog-your-spouse-isnt-eligible-for-medicare-yet-now-what/[slug],crawl_waste,medium,GSC shows impressions for malformed Webflow URLs like /blog-your-spouse-isnt-eligible-for-medicare-yet-now-what/medicare-advantage-vs-... — these 301 to /blogs/:slug* per redirect rule. Redirect appears to be working but Google is still crawling the old pattern,GSC data + next.config.ts,Submit disavow or wait for Google to drop these from index — monitor over 90 days
