url,title,topic_cluster,parent_page,search_intent,likely_keyword_target,has_faq_schema,has_updated_field,word_count_estimate,potential_cannibalization,missing_cluster_topics
/medicare,Medicare Explained: Parts A B C & D Guide,Medicare Core,/,informational/commercial,medicare explained miami / what is medicare,no,no,~1200,,Medicare enrollment dates; Medicare costs explained; Medicare for immigrants
/medicare-coverage/understanding-medicare-parts-a-b-c-d,Understanding Medicare: Parts A B C & D,Medicare Core,/medicare,informational,what are the different parts of medicare,no,no,~2500,Overlaps /medicare service page,
/medicare-coverage/medicare-simplified,Medicare Simplified,Medicare Core,/medicare,informational,medicare simplified / medicare overview,no,no,~2000,Overlaps /medicare and /understanding-medicare-parts-a-b-c-d,
/medicare-coverage/medicare-enrollment-and-costs,Medicare Enrollment & Costs,Medicare Core,/medicare,informational,how much does medicare cost / when to enroll in medicare,no,no,~2500,,
/resources/faq/what-is-medicare-and-who-is-eligible,What Is Medicare and Who Is Eligible?,Medicare Core,/resources,informational,what is medicare and who is eligible,yes,no,~900,Overlaps /medicare and /understanding-medicare-parts-a-b-c-d,
/resources/faq/what-are-the-different-parts-of-medicare,What Are the Different Parts of Medicare?,Medicare Core,/resources,informational,parts of medicare explained,yes,no,~900,Overlaps /understanding-medicare-parts-a-b-c-d and /medicare-simplified,
/resources/faq/when-should-i-sign-up-for-medicare,When Should I Sign Up for Medicare?,Medicare Enrollment,/resources,informational,when to sign up for medicare,yes,no,~900,,
/resources/faq/what-happens-if-i-miss-my-enrollment-window,What Happens If I Miss My Medicare Enrollment Window?,Medicare Enrollment,/resources,informational,missed medicare enrollment window,yes,no,~900,,
/resources/faq/can-i-delay-enrolling-in-medicare-part-b,Can I Delay Enrolling in Medicare Part B?,Medicare Enrollment,/resources,informational,delay medicare part b enrollment,yes,no,~800,,
/resources/faq/how-much-does-medicare-cost,How Much Does Medicare Cost? Is It Free?,Medicare Enrollment,/resources,informational,how much does medicare cost,yes,no,~900,Overlaps /medicare-coverage/medicare-enrollment-and-costs,
/resources/faq/how-does-medicare-work-with-employer-coverage,How Does Medicare Work With Employer Coverage?,Medicare Enrollment,/resources,informational,medicare and employer insurance,yes,no,~800,,
/resources/faq/can-i-change-my-medicare-plan,Can I Change My Medicare Plan Later?,Medicare Enrollment,/resources,informational,change medicare plan,yes,no,~700,,
/tools/medicare-enrollment-calculator,Medicare Enrollment Calculator,Medicare Enrollment,/tools,informational/transactional,medicare enrollment calculator / initial enrollment period calculator,no,no,~500,,
/tools/part-b-penalty-calculator,Part B Late Enrollment Penalty Calculator,Medicare Enrollment,/tools,informational/transactional,medicare part b penalty calculator,no,no,~500,,
/tools/part-d-penalty-calculator,Part D Late Enrollment Penalty Calculator,Medicare Enrollment,/tools,informational/transactional,medicare part d penalty calculator,no,no,~500,,
/tools/irmaa-calculator,2026 IRMAA Calculator,Medicare Enrollment,/tools,informational/transactional,irmaa calculator 2026 / medicare irmaa surcharge,no,no,~600,,
/blogs/turning-65-in-florida-your-complete-medicare-enrollment-checklist,Turning 65 in Florida: Your Complete Medicare Enrollment Checklist,Medicare Enrollment,/blogs,informational,turning 65 medicare checklist florida,no,no,~2000,,
/blogs/medicare-enrollment-and-costs-faq-2026,Medicare Enrollment and Costs FAQ 2026,Medicare Enrollment,/blogs,informational,medicare enrollment 2026 / medicare costs 2026,yes,no,~2000,Overlaps /medicare-coverage/medicare-enrollment-and-costs,
/resources/faq/what-is-irmaa,What Is IRMAA?,Medicare Enrollment,/resources,informational,what is irmaa medicare,yes,no,~800,Overlaps /tools/irmaa-calculator,
/medicare-coverage/medicare-advantage-plans,Medicare Advantage Plans,Medicare Advantage,/medicare,informational/commercial,medicare advantage plans / what is medicare advantage,no,no,~3000,,
