signal_type,present,location,count,quality_notes,improvement_area
FAQPage schema,yes,/resources/faq/[slug] + select /blogs/[slug] pages + select local landing pages,29 FAQ pages + ~2-3 blog posts with faqs arrays,Quality varies — FAQ pages are well-structured question/answer format. Blog post FAQs mirror content from HTML sections. All use standard FAQPage/@type Question/@type Answer structure.,Add faqs arrays to more high-traffic Medicare comparison blog posts. Minimum target: all posts with question-format titles.
Question-formatted H2s/H3s,yes,/resources/faq/* (all pages — titles are questions); select blog posts (which-medicare-plan-is-better-for-dental-and-vision-coverage etc.),29 FAQ pages with question titles; ~15 blog posts with question-format titles,Strong pattern — blog posts in the which-medicare-plan-is-better-for-* series are natively question-formatted. Resource FAQ pages all have question H1s.,Ensure H2 headings inside blog posts are also framed as questions where appropriate (not just H1/title).
Direct answer patterns,partial,/resources/faq/[slug] pages — keyTakeaways array; blog post FAQ sections,29 FAQ pages have keyTakeaways (3-5 bullet summary per page),keyTakeaways rendered as bullet list — AI models and featured snippet algorithms reward direct concise answers at top of content. Current pattern buries answers after introductory text.,Consider adding TL;DR/answer summary block at top of high-traffic blog posts before the full article body.
Entity mentions — Steve Germain,yes,Person schema @graph; /about/steve; BlogPostingSchema author; all page metadata,Sitewide,Person schema with @id /#steve-germain cross-referenced from BlogPostingSchema author and LocalBusinessSchema founder/employee — correct entity linking for knowledge graph.,Add sameAs links to official license lookup (apps.fldfs.com) or NPN registry in Person schema to strengthen entity identity.
Entity mentions — A&E Insurance Agency,yes,LocalBusinessSchema @graph; all metadata; all pages,Sitewide,InsuranceAgency+LocalBusiness @id /#organization consistently used. sameAs includes Facebook Instagram YouTube TikTok LinkedIn GBP.,Add Wikipedia or Wikidata entry if possible. Add DUNS number or business registry identifier to schema.
Entity mentions — Medicare,yes,Content throughout site; schema knowsAbout arrays,Sitewide,Medicare referenced as primary topic across all content. CMS and SSA cited per editorial policy. Medicare.gov linked in footer.,No formal schema sameAs link to Medicare.gov or CMS in LocalBusinessSchema. Consider adding cms.gov to knowsAbout or about entities.
Knowledge graph sameAs identifiers,partial,LocalBusinessSchema sameAs + Person sameAs,6 social profiles + GBP Google Maps link,sameAs includes Facebook Instagram YouTube TikTok LinkedIn GBP CID. No Wikidata/Wikipedia/official government registry identifiers.,Add NPN registry URL (apps.fldfs.com lookup for NPN 19921707) to Person sameAs. Consider GS1 or DUNS for Organization.
Speakable schema,no,Not found anywhere in codebase,0,No Speakable schema implemented — this marks content sections ideal for voice assistant reading.,Implement Speakable on FAQ pages and key definition content sections. Google still supports this for voice search responses.
HowTo schema,no,Not found anywhere in codebase,0,Calculator pages and enrollment checklist post are natural candidates for HowTo schema.,Add HowTo schema to /tools/medicare-enrollment-calculator and /blogs/turning-65-in-florida-your-complete-medicare-enrollment-checklist.
QAPage schema,no,Not found anywhere in codebase,0,Distinct from FAQPage — used for pages with community Q&A format. Not currently applicable but worth considering for resources.,Low priority — FAQPage is the correct schema for current content structure.
Definition/explanation content,yes,/medicare-coverage/* pillar guides; /resources/faq/* pages,7 pillar guides + 29 FAQ pages,Pillar guides provide detailed definitional content (What Is Medicare Advantage? What Is Medigap?) in H2 sections. Good pattern for AI entity extraction.,Add structured comparison tables (e.g. Medicare Advantage vs. Medigap feature comparison table) — tables are strong AI signal.
Structured comparison content (tables),partial,Blog post HTML content (Webflow-migrated) may contain tables; .blog-content CSS in globals.css includes table styles,Unknown count — content is raw HTML in strings,The blog-content CSS includes table styling suggesting some posts have comparison tables. Cannot confirm without rendering.,Audit top 10 posts for table presence. If absent add comparison tables to Medicare Advantage vs. Medigap posts where rankings are being competed for.
Numbered lists / definitions,yes,All service pages use 01 02 03... numbered item format; pillar guides have structured sections,7 service/coverage pages + all local landing pages,Numbered item format on service pages is AI-readable structured content. Each item includes description and The Bottom Line callout.,Good pattern already established — extend to FAQ pages where applicable.
Topic authority signal — Medicare coverage,yes,7 pillar guides + 29 FAQ pages + ~35 Medicare blog posts,~70 pieces of Medicare content,Site has a strong Medicare topical authority cluster. GSC confirms impressions across diverse Medicare queries.,Largest gap: no content about Medicare in languages other than English (despite Spanish knowsLanguage claim in schema).
Topic authority signal — Local (Miami/South Florida),partial,5 local landing pages + 3 local-oriented blog posts + LocalBusinessSchema areaServed (16 cities),5 landing pages,GSC shows homepage receiving health insurance agents miami fl at pos 18 (105 impressions / 0 clicks). Local SEO gap — not ranking for Miami Medicare searches.,Need more Miami/Florida-specific content. GSC data shows local queries getting impressions but very low positions.
Video content / VideoObject schema,no,No VideoObject schema found; YouTube channel exists (sameAs link) but no video embeds with schema in codebase,0,YouTube channel linked in sameAs but no VideoObject schema on any page. Workshop content at /watch/video is not schema-tagged.,Add VideoObject schema to /watch page for the Medicare Made Simple workshop. Embed YouTube videos on relevant blog posts with VideoObject schema.
Summary/TL;DR sections,partial,keyTakeaways array in FAQ pages renders as bullet summary,29 FAQ pages have keyTakeaways,FAQ pages have keyTakeaways rendered as bullets — good AI signal. Blog posts do NOT have equivalent summary structure.,Add structured summary section to top or bottom of high-traffic blog posts. Pattern: 3-5 key takeaways in a callout box.
Inlanguage Spanish,no,Schema claims es as inLanguage but no Spanish content exists,0,WebSite schema lists inLanguage: [en-US es] but there is no /es/ or Spanish-language content in the site.,If Spanish content is planned add /es/ language route with hreflang. If not remove Spanish from inLanguage to avoid misleading Google about content availability.
AI citation signals — external authoritative links,partial,Medicare.gov linked in footer; CMS/SSA cited per CLAUDE.md editorial policy (in content),1 explicit external link in code (Medicare.gov in footer),External links to authoritative sources in content make content citable by AI systems. CLAUDE.md states every dollar figure traces to CMS/SSA but external links within post content body cannot be confirmed from source code.,Audit top 10 posts for presence of external links to Medicare.gov CMS.gov SSA.gov. Add if missing.
