eeat_dimension,signal_type,present,location,content,strength_rating,notes
Experience,Years in business claim,yes,LocalBusinessSchema + Footer disclaimer + multiple pages,foundingDate: 2009 — 17 years in business as of 2026,strong,Consistently used across schema and content
Experience,Client count claim,yes,LocalBusinessSchema (description) + About pages + metadata descriptions,3000+ families helped,strong,Appears in schema description and throughout marketing copy
Experience,Client story photos,yes,Hero slideshow (/public/slideshow/s01-s13.jpg),Photos of Steve with named clients: Jos and Marie; Annabella; Eleonora; Leslie and Jennifer; Irving; Mr. Heinrich. Photo alt tags include client names and context.,strong,Real client photos with named clients — strong Experience signal
Experience,Book — Medicare Decoded,yes,Hero section; /about/steve; FreeBook section; metadata descriptions; PDF download /public/medicare-decoded-guide.pdf,Book listed as lead magnet and credibility anchor,strong,Physical/digital book is a powerful Experience signal for YMYL content
Experience,Workshop/webinar,yes,/watch route; AnnouncementBar; Hero CTA; Footer Quick Links link,Medicare Made Simple free workshop — live delivery implies real-world education experience,medium,Workshop provides experiential credibility
Experience,Client testimonials/reviews,yes,GoogleReviews section component on homepage,5.0 rating 126 reviews (per schema). GoogleReviews component renders review display.,strong,AggregateRating in schema. Real Google reviews implied.
Expertise,NPN number (license),yes,Footer disclaimer text,NPN 19921707 — Steve Germain,strong,Disclosed in footer: Steve Germain NPN 19921707. Licensed in FL and 35 states.
Expertise,State licensure claim,yes,Footer; metadata; LocalBusinessSchema description; About pages,Licensed in FL and 35 states,strong,Consistently present across site
Expertise,Author byline on blog posts,yes,All /blogs/[slug] pages via BlogPostClient,Steve Germain listed as author on all blog posts via BlogPostingSchema and rendered byline,medium,All blog posts have author attribution. No separate author bio page URL but /about/steve exists.
Expertise,Person schema with credentials,yes,LocalBusinessSchema @graph Person entity,hasCredential: Licensed Insurance Broker recognized by Florida Department of Financial Services. knowsAbout: 8 Medicare topic areas. knowsLanguage: English + Spanish.,strong,Structured data formalizes expertise claim
Expertise,Bilingual service,yes,LocalBusinessSchema Person; implied in content (Spanish-speaking clients),knowsLanguage: English + Spanish in Person schema,medium,Explicit in schema but no Spanish-language page content found
Expertise,Educational content depth,yes,/medicare-coverage/* (7 pillar guides ~2500-3000 words each); /resources/faq/* (29 pages); /blogs/* (~68 posts); 4 calculator tools,Comprehensive Medicare education library covering all major Medicare decisions,strong,Breadth and depth of YMYL content is strong expertise signal
Expertise,Carrier count claim,yes,Tagline; metadata descriptions; LocalBusinessSchema description; Hero,25+ carriers compared — used consistently,medium,Specific claim but not verified by carrier logos/list in codebase
Expertise,IRMAA / penalty / enrollment calculators,yes,/tools/* (4 calculators with 2026 figures),Calculators with current 2026 CMS/SSA verified figures per ANNUAL_UPDATE.md,strong,Interactive tools with verified regulatory data = deep expertise signal
Authority,Google Business Profile mentions,yes,LocalBusinessSchema hasMap + sameAs,hasMap: https://maps.google.com/maps?cid=15178142734129409106. GBP listed in sameAs.,medium,GBP connected in schema — reviews fed from GBP
Authority,Social media profiles (sameAs),yes,LocalBusinessSchema sameAs + Person sameAs,Facebook + Instagram + YouTube + TikTok + LinkedIn all in sameAs arrays,medium,Multi-platform presence. YouTube and TikTok relevant for Medicare workshop content.
Authority,Review count in schema,yes,LocalBusinessSchema aggregateRating,126 reviews at 5.0 rating,strong,Strong review count for local insurance broker
Authority,BBB Seal,yes,Footer — BBBSeal component,BBBSeal component rendered below logo in Footer,medium,BBB accreditation is trust/authority signal — seal implemented site-wide
Authority,External citation in content,yes,Footer disclaimer links to medicare.gov; content links to CMS/SSA sources (from CLAUDE.md: every dollar figure traces to CMS/SSA),Medicare.gov external link in footer disclaimer; CMS/SSA cited in content per editorial policy,medium,External links to authoritative sources strengthen E-E-A-T
Authority,LinkedIn company profile,yes,LocalBusinessSchema sameAs,https://www.linkedin.com/company/a-e-insurance-agency-llc/,medium,Professional network presence
Trust,Medicare legal disclaimer,yes,Footer (global — all pages),Full CMS/Medicare disclaimer: not endorsed by Medicare; not affiliated with US government; not all plans offered; contact Medicare.gov,strong,Required Medicare marketing disclaimer — prominently placed in global footer
Trust,Privacy Policy,yes,/privacy; linked from Footer,Privacy Policy page exists,medium,Dedicated page though noindexed
Trust,Terms of Use,yes,/terms; linked from Footer,Terms of Use page exists,medium,Dedicated page though noindexed
Trust,Physical address,yes,Footer; LocalBusinessSchema; contact page,12855 SW 136th Avenue Suite 105 Miami FL 33186,strong,Specific suite address increases trust
Trust,Business hours,yes,Footer (via constants); LocalBusinessSchema openingHoursSpecification,Monday-Friday 9:00 AM - 5:00 PM,strong,Specific hours in both footer and schema
Trust,Phone number (click-to-call),yes,AnnouncementBar; Footer; Header CTA; LocalBusinessSchema; contact page,(954) 281-5622 — tel: links throughout,strong,Consistent phone number accessible from every page
Trust,Email address,yes,Footer; LocalBusinessSchema; contact page,info@aeinsurancefl.com,medium,Email disclosed in footer and schema
Trust,HTTPS/SSL,yes,(inferred from SITE_URL https://www.aeinsurancefl.com),Canonical and all URLs use HTTPS,strong,SSL is baseline trust signal
Trust,Founding year,yes,LocalBusinessSchema; about pages,foundingDate: 2009,medium,17 years in business builds trust
EEAT_GAPS,Missing author bio URL on blog posts,no,Blog post pages,BlogPostingSchema has author URL /about/steve but there is no schema ProfilePage type for Steve's bio — the person page exists but is not schema-typed as ProfilePage,medium,Add @type: ProfilePage to /about/steve for stronger author authority signal
EEAT_GAPS,No case studies / detailed client stories,no,Site-wide,Client photos exist but no detailed written case studies with outcomes,medium,Written case studies would strengthen Experience signal
EEAT_GAPS,No media/press mentions,no,Site-wide,No PR coverage or media quotes found in codebase,medium,Local press coverage or national Medicare publication quotes would strengthen Authority
EEAT_GAPS,No professional association memberships,no,Site-wide,No NAIFA NAHU or other association badges found,low,Professional association memberships add Authority
EEAT_GAPS,Carrier list not visible,no,Site-wide,Claims 25+ carriers but no carrier logos or list visible in codebase — no carrier pages,medium,Showing carrier logos (Humana Aetna UHC etc.) would strengthen the 25+ carriers claim
EEAT_GAPS,No video testimonials,no,Site-wide,Google Reviews referenced but no video testimonial schema or embed found,medium,VideoObject schema on client testimonial videos would help
