page_url,schema_type,required_fields_present,missing_fields,has_geo,has_service_area,has_nap,has_reviews,notes
ALL PAGES (via layout.tsx),InsuranceAgency+LocalBusiness,yes — name/url/telephone/email/address/openingHours/priceRange/founder,,yes (lat:25.6437 lng:-80.4418),yes (16 cities + 15 states),yes (NAP complete),yes (rating:5.0 reviewCount:126),Combined @type array InsuranceAgency+LocalBusiness. Injected via LocalBusinessSchema in root layout. areaServed includes Miami Kendall Doral Coral Gables Hialeah Hollywood Fort Lauderdale Homestead Cutler Bay Miami Beach North Miami South Miami Pinecrest Palmetto Bay Miami Gardens Pompano Beach + FL TX GA NC TN AZ VA PA OH IL NY NJ CA CO NV.
ALL PAGES (via layout.tsx),Person (Steve Germain),yes — name/jobTitle/description/url/image/worksFor/knowsLanguage/knowsAbout/hasCredential/sameAs,,no,no,no,no,@id: https://www.aeinsurancefl.com/#steve-germain. knowsLanguage: English+Spanish. hasCredential referencing Florida DFS. No NPN number in schema (NPN 19921707 is in footer text only).
ALL PAGES (via layout.tsx),WebSite,yes — url/name/description/publisher/inLanguage/potentialAction,,no,no,no,no,SearchAction urlTemplate: /blogs?search={search_term_string}. inLanguage: en-US + es (bilingual claim). @id: /#website.
/blogs/[slug] (all blog posts),BlogPosting,yes — headline/description/url/datePublished/dateModified/author/publisher/mainEntityOfPage/isPartOf,image missing on posts without image field,no,no,no,no,author @id cross-references /#steve-germain from LocalBusinessSchema. publisher @id cross-references /#organization. datePublished converts human dates to ISO. dateModified uses updated field if set else datePublished. about: Medicare Insurance (generic — same for all posts).
/medicare-coverage/[slug] (7 coverage posts),BlogPosting,yes — same fields as blog posts,image absent (medicareCoveragePosts has no image field),no,no,no,no,Coverage posts use BlogPostingSchema despite being pillar guides — not Article or TechArticle or Guide schema type. datePublished from post.date field.
/resources/faq/[slug] (29 FAQ pages),FAQPage,yes — mainEntity array with Question+Answer,no missing required fields,no,no,no,no,FAQSchema component used. All 29 FAQ pages have FAQPage schema. Quality varies by content depth.
/blogs/[slug] with faqs array,FAQPage,yes,no missing required fields,no,no,no,no,Only a subset of blog posts have faqs arrays defined. Posts confirmed with FAQPage: medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you; medicare-enrollment-and-costs-faq-2026. Most blog posts do NOT have FAQPage schema despite containing FAQ sections in HTML content.
/health-insurance,ItemList,yes — name/description/numberOfItems/itemListElement (4 items),no missing required fields,no,no,no,no,4 ListItems: Individual & Family; ACA/Marketplace; Private Non-ACA; Self-Employed.
/medicare-broker-miami /medicare-broker-south-florida /medicare-broker-kendall /medicare-broker-near-me /health-insurance-broker-miami,BreadcrumbList,yes — @context/@type/itemListElement,no missing required fields,no,no,no,no,BreadcrumbList present on all 5 local landing pages. Typical structure: Home > [Page Name].
ALL PAGES (via layout.tsx),AggregateRating,yes — ratingValue:5.0 reviewCount:126 bestRating:5 worstRating:1,,no,no,no,yes,Nested inside LocalBusiness schema. reviewCount: 126 — needs periodic verification against GBP live count.
MISSING — all service pages,FinancialProduct / InsuranceProduct,absent,Full schema missing,no,no,no,no,No FinancialProduct or InsuranceProduct schema on Medicare Medigap Health Insurance Life Insurance pages. Opportunity for rich results.
MISSING — /about/steve,Physician / FinancialAdvisor / Expert,absent,Not implemented as dedicated Person schema on the page itself,no,no,no,no,Person schema exists globally via LocalBusinessSchema @graph but no page-level Person schema on /about/steve.
MISSING — /tools/*,SoftwareApplication or WebApplication,absent,No schema on calculator pages,no,no,no,no,4 calculator tools have no schema markup — opportunity for WebApplication or SoftwareApplication with Tool type.
MISSING — /watch,Event or VideoObject,absent,No Event/VideoObject schema on webinar page,no,no,no,no,Webinar opt-in page has no Event schema.
MISSING — blog posts,speakable,absent,No Speakable schema on any content,no,no,no,no,AI/voice search readiness gap.
MISSING — blog posts,HowTo,absent,Not used anywhere,no,no,no,no,Opportunities on enrollment checklist and penalty calculator content.
NAP CONSISTENCY CHECK,NAP Audit,consistent,no gaps,pass,pass,pass,pass,"Name: A&E Insurance Agency (consistent across schema/footer/header/metadata). Address: 12855 SW 136th Avenue Suite 105 Miami FL 33186 (consistent in schema and footer via LOCATIONS constant). Phone: (954) 281-5622 (consistent via PHONE constant — used everywhere). Email: info@aeinsurancefl.com (consistent via EMAIL constant). All NAP data sourced from src/lib/constants.ts — single source of truth."
